,,,,,,,,,,,
,,,,,,,,,,,
MUNICIPALITY OF ANCHORAGE,,,,,,,,,,,
PARKS & RECREATION,,,,,,,,,,,
PARK MAINTENANCE,,,,,,,,,,,
,,,,,,,,,,,
WINTER RECREATION TRAIL AND ICE STATUS REPORT,,,,,,,,,,,
"Wednesday, February 4, 2015",,,,,,,,,,,
,,,,,,,,,,,
All maintenance by Parks & Recreation unless otherwise noted.,,,,,,,,,,,
ANCHORAGE,ICE,DATE,ICE CONDITIONS,OTHER INFORMATION,,,,,,,
LAKES & RINKS,THICKNESS,TESTED,,,,,,,,,
Cheney Lake,"26.5"" @ 50'",2/3/2015,Good condition; maintained,PLEASE USE CAUTION,,,,,,,
,"26"" @ 100'",,"daily, weather permitting",,,,,,,,
Cuddy Midtown Skate Pond,"24"" @center",2/3/2015,Good condition; maintained,PLEASE USE CAUTION,,,,,,,
,,,"twice weekly, weather permitting",Maintained by Alpine Services 277-2050,,,,,,,
DeLong Lake,"22"" @ 50'",2/3/2015,No skating rink provided.,PLEASE USE CAUTION,,,,,,,
,"22"" @ 100'",,Ice fishing only.,,,,,,,,
Goose Lake,"24"" @ 50'",2/3/2015,Work in progress,PLEASE USE CAUTION,,,,,,,
,"24"" @ 100'",,PLEASE USE CAUTION,Maintained by Alpine Services 277-2050,,,,,,,
Jewel Lake,"21"" @ 50'",2/3/2015,No skating rink provided.,PLEASE USE CAUTION,,,,,,,
,"20.5"" @ 100'",,,,,,,,,,
Westchester Lagoon,"24"" @ 50'",2/3/2015,Good condition; maintained,PLEASE USE CAUTION,,,,,,,
,"24"" @ 100'",,"daily, weather permitting",,,,,,,,
ANCHORAGE,CONDITIONS,,,OTHER INFORMATION,,,,,,,
HOCKEY & ICE SKATING RINKS,,,,,,,,,,,
Cuddy Midtown Skating Oval,"Good condition; maintained Sun,Tue,Thu, weather permitting",,,Maintained by Alpine Services 277-2050,,,,,,,
Delaney Hockey,"Good condition; maintained daily, weather permitting",,,Rink Rental info @ 343-4040,,,,,,,
Delaney Figure Skating,"Good condition; maintained daily, weather permitting",,,Rink Rental info @ 343-4040,,,,,,,
Mulcahy North & South,"Good condition; maintained daily, weather permitting",,,Maintained by Alpine Services 277-2050,,,,,,,
Tikishla - Scotty Gomez,"Good condition; maintained daily, weather permitting",,,Maintained by Alpine Services 277-2050,,,,,,,
ANCHORAGE,,,,,,,,,,,
CROSS COUNTRY SKI TRAILS,TRAIL PACKED,,TRACK SET,OTHER INFORMATION,,,,,,,
Coastal Trail - Tony Knowles Coastal Trail,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
Campbell Creek - East of Lake Otis to University Lake,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
Campbell Creek - West of New Seward,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
Chester Creek - Goose Lake to Westchester Lagoon,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
E. Northern Lights/Goose Lake,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
University Lake Loop & Russian Jack Connector,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
Russian Jack Springs - North,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
Russian Jack Springs - South,No,,No,Waiting for sufficient snowfall to begin trail grooming.  ,,,,,,,
TRAILS MAINTAINED BY NORDIC SKIING ASSOCIATION,,,,,,,,,,,
Far North Bicentennial/Tour of Anchorage,"For information re conditions on these trails, visit the Nordic Skiing Association website at",,,,,,,,,,
Far North Bicentennial & Hillside Trails,http://www.anchoragenordicski.com/,,,,,,,,,,
Kincaid Park,,,,,,,,,,,
Eagle River Beach Lake Park trails,,,,,,,,,,,
TRAILS & SIDEWALKS,CLEARED,,ICY,OTHER INFORMATION,,,,,,,
North Anchorage,Yes,,Yes,,,,,,,,
South Anchorage,Yes,,Yes,,,,,,,,
EAGLE RIVER,ICE,DATE,ICE CONDITIONS,OTHER INFORMATION,,,,,,,
LAKES  ,THICKNESS,TESTED,,,,,,,,,
Beach Lake,"26"" @ 50'",2/2/2015,No skating rinks provided.,PLEASE USE CAUTION,,,,,,,
,"26"" @ 100'",,Ice fishing only.   ,,,,,,,,
Edmonds Lake,"24"" @ 50'",2/2/2015,No skating rinks provided.,PLEASE USE CAUTION,,,,,,,
,"24"" @ 100'",,Ice fishing only.   ,,,,,,,,
Fire Lake,"26"" @ 50'",2/2/2015,No skating rinks provided.,PLEASE USE CAUTION,,,,,,,
,"26"" @ 100'",,Ice fishing only.   ,,,,,,,,
Mirror Lake,"25"" @ 50'",2/2/2015,No skating rinks provided.,PLEASE USE CAUTION,,,,,,,
,"27"" @ 100'",,Ice fishing only.   ,,,,,,,,
"If you have compliments, questions or concerns, please contact us online by filling out the Park Maintenance Feedback Form at",,,,,,,,,,,
http://webapps1.muni.org/pdpw/parkmaint/feedback/,,,,,,,,,,,
,or email us at,,mailto:parksrecmaintenance@muni.org,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,`,,,,,,,,,
